"Region","MainIsland","TotalBudget","MedianSavings","AvgDelay","HighDelayPct","EfficiencyScore"
"Cordillera Administrative Region","Luzon",14557082286.87,2443.45500000194,241.371621621622,100,100
"National Capital Region","Luzon",37375228853.77,323215.64,275.138601036269,99.8704663212435,100
"Region I","Luzon",24127224177.76,1819.79999999702,229.369602763385,98.6183074265976,100
"Region II","Luzon",22493331852.21,10000,256.715246636771,100,100
"Region III","Luzon",62517911971.79,2244.01000000536,215.598148148148,100,100
"Region IV-A","Luzon",34613432648.02,635.759999990463,256.621968616263,99.8573466476462,100
"Region IV-B","Luzon",22432789116.38,2975.63499999791,267.133540372671,99.6894409937888,100
"Region IX","Mindanao",4293133151.72,49019.7299999995,352.978494623656,100,100
"Region VI","Visayas",19179332485.75,795.809999994934,316.162025316456,100,100
"Region VIII","Visayas",18757901193.23,60312.5,265.894865525672,100,100
"Region X","Mindanao",21108791876.06,109843.274999999,363.88198757764,100,100
"Region XII","Mindanao",11853928364.21,12457.8999999911,274.454545454545,100,100
"Region XIII","Mindanao",18686741373.37,202.65000000596,329.911392405063,100,61.4255841632616
"Region V","Luzon",42472879662.45,87.1499999947846,238.493489583333,100,36.5418779971908
"Region VII","Visayas",27449467562.05,28.2999999970198,250.72591006424,99.7858672376874,11.2872259551352
"Region XI","Mindanao",17883745022.67,0,307.209150326797,100,0
